,date,holiday_NL,workday,vacation_NL_North,vacation_NL_Central,vacation_NL_South,vacation_BE,vacation_GE
0,2011-01-01,True,False,True,True,True,True,True
1,2011-01-02,False,False,True,True,True,True,True
2,2011-01-03,False,True,False,False,False,True,True
3,2011-01-04,False,True,False,False,False,True,True
4,2011-01-05,False,True,False,False,False,True,True
5,2011-01-06,False,True,False,False,False,True,True
6,2011-01-07,False,True,False,False,False,True,True
7,2011-01-08,False,False,False,False,False,True,True
8,2011-01-09,False,False,False,False,False,True,True
9,2011-01-10,False,True,False,False,False,False,False
10,2011-01-11,False,True,False,False,False,False,False
11,2011-01-12,False,True,False,False,False,False,False
12,2011-01-13,False,True,False,False,False,False,False
13,2011-01-14,False,True,False,False,False,False,False
14,2011-01-15,False,False,False,False,False,False,False
15,2011-01-16,False,False,False,False,False,False,False
16,2011-01-17,False,True,False,False,False,False,False
17,2011-01-18,False,True,False,False,False,False,False
18,2011-01-19,False,True,False,False,False,False,False
19,2011-01-20,False,True,False,False,False,False,False
20,2011-01-21,False,True,False,False,False,False,False
21,2011-01-22,False,False,False,False,False,False,False
22,2011-01-23,False,False,False,False,False,False,False
23,2011-01-24,False,True,False,False,False,False,False
24,2011-01-25,False,True,False,False,False,False,False
25,2011-01-26,False,True,False,False,False,False,False
26,2011-01-27,False,True,False,False,False,False,False
27,2011-01-28,False,True,False,False,False,False,False
28,2011-01-29,False,False,False,False,False,False,False
29,2011-01-30,False,False,False,False,False,False,False
30,2011-01-31,False,True,False,False,False,False,False
31,2011-02-01,False,True,False,False,False,False,False
32,2011-02-02,False,True,False,False,False,False,False
33,2011-02-03,False,True,False,False,False,False,False
34,2011-02-04,False,True,False,False,False,False,False
35,2011-02-05,False,False,False,False,False,False,False
36,2011-02-06,False,False,False,False,False,False,False
37,2011-02-07,False,True,False,False,False,False,False
38,2011-02-08,False,True,False,False,False,False,False
39,2011-02-09,False,True,False,False,False,False,False
40,2011-02-10,False,True,False,False,False,False,False
41,2011-02-11,False,True,False,False,False,False,False
42,2011-02-12,False,False,False,False,False,False,False
43,2011-02-13,False,False,False,False,False,False,False
44,2011-02-14,False,True,False,False,False,False,False
45,2011-02-15,False,True,False,False,False,False,False
46,2011-02-16,False,True,False,False,False,False,False
47,2011-02-17,False,True,False,False,False,False,False
48,2011-02-18,False,True,False,False,False,False,False
49,2011-02-19,False,False,True,True,True,False,False
50,2011-02-20,False,False,True,True,True,False,False
51,2011-02-21,False,True,True,True,True,False,False
52,2011-02-22,False,True,True,True,True,False,False
53,2011-02-23,False,True,True,True,True,False,False
