,date,count
0,2011-01-20,2
1,2011-03-10,1
2,2011-03-21,1
3,2011-03-23,1
4,2011-03-25,1
5,2011-03-28,1
6,2011-04-03,1
7,2011-04-06,2
8,2011-04-07,2
9,2011-04-08,1
10,2011-04-09,1
11,2011-04-16,3
12,2011-04-23,1
13,2011-04-25,2
14,2011-04-26,4
15,2011-04-27,1
16,2011-04-30,1
17,2011-05-01,1
18,2011-05-04,1
19,2011-05-08,2
20,2011-05-13,1
21,2011-05-15,1
22,2011-05-20,1
23,2011-05-25,3
24,2011-05-28,1
25,2011-05-31,1
26,2011-06-03,2
27,2011-06-19,1
28,2011-07-01,1
29,2011-08-07,1
30,2011-08-17,1
31,2011-10-03,1
32,2011-10-29,1
33,2011-11-13,1
34,2011-12-10,1
35,2012-01-21,1
36,2012-03-20,1
37,2012-03-21,1
38,2012-03-22,1
39,2012-03-24,1
40,2012-05-08,1
41,2012-05-27,1
42,2012-05-29,1
43,2012-05-31,1
44,2012-06-06,1
45,2012-06-07,1
46,2012-06-22,1
47,2012-08-10,1
48,2012-08-12,1
49,2012-08-13,1
50,2012-08-17,1
51,2012-09-07,1
52,2012-09-08,1
53,2012-09-14,1
54,2012-10-14,1
55,2012-10-23,1
56,2012-11-16,1
57,2012-11-26,1
58,2012-12-23,1
59,2013-02-21,1
60,2013-03-11,1
61,2013-03-27,3
62,2013-04-01,1
63,2013-04-02,1
64,2013-04-03,1
65,2013-04-04,4
66,2013-04-06,1
67,2013-04-07,1
68,2013-04-08,1
69,2013-04-18,1
70,2013-04-20,4
71,2013-04-21,1
72,2013-04-22,1
73,2013-04-23,1
74,2013-04-24,1
75,2013-04-25,3
76,2013-04-27,1
77,2013-05-01,2
78,2013-05-06,1
79,2013-05-07,2
80,2013-05-09,1
81,2013-05-11,1
82,2013-06-15,1
83,2013-06-22,1
84,2013-07-11,1
85,2013-07-14,1
86,2013-07-16,1
87,2013-07-21,1
88,2013-09-02,1
89,2014-03-08,1
90,2014-03-10,1
91,2014-03-13,1
92,2014-03-15,1
93,2014-03-20,1
94,2014-04-02,1
95,2014-04-03,1
96,2014-04-10,1
97,2014-04-17,1
98,2014-04-19,1
99,2014-04-20,1
100,2014-04-23,2
101,2014-04-26,1
102,2014-04-28,1
103,2014-04-30,1
104,2014-05-04,1
105,2014-05-21,1
106,2014-06-17,2
107,2014-06-20,1
108,2014-06-25,1
109,2014-06-28,2
110,2014-07-03,2
111,2014-07-06,1
112,2014-07-18,1
113,2014-07-27,1
114,2014-08-07,1
115,2014-09-04,1
116,2014-09-14,1
117,2015-03-08,1
118,2015-03-13,1
119,2015-03-17,1
120,2015-03-22,1
121,2015-03-24,1
122,2015-03-31,1
123,2015-04-10,1
124,2015-04-14,1
125,2015-04-17,1
126,2015-04-18,1
127,2015-04-19,2
128,2015-04-20,1
129,2015-04-29,1
130,2015-05-02,1
131,2015-05-12,1
132,2015-05-17,1
133,2015-05-20,1
134,2015-05-27,2
135,2015-05-31,1
136,2015-06-01,1
137,2015-06-06,1
138,2015-06-08,1
139,2015-06-10,1
140,2015-06-14,2
141,2015-06-16,1
142,2015-06-17,4
143,2015-06-26,2
144,2015-06-27,1
145,2015-06-28,2
146,2015-06-29,1
147,2015-06-30,2
148,2015-07-03,1
149,2015-07-04,1
150,2015-07-06,1
151,2015-07-07,1
152,2015-07-10,1
153,2015-07-11,2
154,2015-08-12,1
155,2015-08-13,1
156,2015-08-18,1
157,2015-08-23,1
158,2015-09-29,1
159,2015-11-11,1
160,2015-12-06,1
161,2015-12-31,1
162,2016-02-27,1
163,2016-03-20,1
164,2016-03-21,1
165,2016-03-23,1
166,2016-04-17,1
167,2016-04-21,1
168,2016-05-06,2
169,2016-05-08,3
170,2016-05-09,1
171,2016-05-11,1
172,2016-05-16,1
173,2016-05-21,2
174,2016-05-27,1
175,2016-05-28,1
176,2016-07-20,1
177,2016-07-28,1
178,2016-08-28,1
179,2016-08-30,1
180,2016-09-14,1
181,2016-09-15,2
182,2016-09-17,1
183,2016-09-25,1
184,2016-10-09,1
185,2017-03-16,1
186,2017-03-26,3
187,2017-04-01,1
188,2017-04-05,1
189,2017-04-08,1
190,2017-04-09,1
191,2017-04-29,1
192,2017-05-01,1
193,2017-05-06,1
194,2017-05-08,1
195,2017-05-09,1
196,2017-05-16,3
197,2017-05-17,1
198,2017-05-22,1
199,2017-05-25,2
200,2017-05-26,1
201,2017-05-27,3
202,2017-05-29,1
203,2017-05-30,1
204,2017-06-02,1
205,2017-06-05,1
206,2017-06-08,1
207,2017-06-10,1
208,2017-06-11,1
209,2017-06-12,1
210,2017-06-13,1
211,2017-06-15,1
