date,windVectorAvgSpeed,windDailyAvgSpeed,windHourlyMaxSpeed,windHourlyMinSpeed,tempDailyAvg,tempDailyMin,tempDailyMax,precipDailySum,airpresDailyAvg,airpresHourlyMax,airpresHourlyMin,humidDailyAvg,humidDailyMax,humidDailyMin,windVectorWeight,north,east,south,west,tempDailyAvg_mean_3,tempDailyAvg_mean_7,tempDailyMin_mean_3,tempDailyMin_mean_7,tempDailyMax_mean_3,tempDailyMax_mean_7,airpresDailyAvg_mean_3,airpresDailyAvg_mean_7,humidDailyAvg_mean_3,humidDailyAvg_mean_7,precipDailySum_sum_3,precipDailySum_sum_7,holiday_NL,workday,vacation_NL_North,vacation_NL_Central,vacation_NL_South,vacation_BE,vacation_GE,wildfire,year
2011-01-01,2.4,2.9,4.0,2.0,2.7,-1.1,6.1,0.3,10219,10232,10205,96,100,86,0.828,0.129,0.0,0.0,0.699,1.0,0.7,-2.5,-1.7,3.7,2.9,10242,10230,95,91,1,0,True,False,True,True,True,True,True,False,2011
2011-01-02,2.5,2.6,4.0,2.0,1.1,-2.4,5.1,-0.1,10245,10254,10231,90,97,74,0.962,0.224,0.0,0.0,0.738,1.7,0.7,-1.8,-1.9,4.6,3.0,10239,10229,94,91,0,0,False,False,True,True,True,True,True,False,2011
2011-01-03,1.7,1.8,3.0,1.0,0.9,-2.3,2.5,0.2,10234,10251,10210,96,98,93,0.944,0.0,0.0,0.304,0.64,1.6,1.0,-1.9,-1.9,4.6,3.3,10233,10231,94,92,0,0,False,True,False,False,False,True,True,False,2011
2011-01-04,4.0,4.1,6.0,2.0,0.1,-1.9,1.8,0.0,10165,10204,10128,85,96,78,0.976,0.0,0.0,0.792,0.184,0.7,0.9,-2.2,-2.0,3.1,3.3,10215,10228,90,93,0,1,False,True,False,False,False,True,True,False,2011
2011-01-05,5.5,5.7,8.0,4.0,0.4,-2.6,4.2,-0.1,10060,10126,9969,75,88,66,0.965,0.0,0.021,0.944,0.0,0.5,0.8,-2.3,-2.4,2.8,3.5,10153,10204,85,90,0,1,False,True,False,False,False,True,True,False,2011
2011-01-06,2.3,3.8,7.0,2.0,5.4,3.6,10.5,9.8,9956,10030,9914,97,99,91,0.605,0.0,0.0,0.424,0.182,2.0,1.7,-0.3,-1.2,5.5,4.7,10060,10162,86,91,10,10,False,True,False,False,False,True,True,False,2011
2011-01-07,2.3,3.1,5.0,1.0,5.5,0.5,10.1,1.8,10039,10059,10024,98,99,95,0.742,0.0,0.124,0.618,0.0,3.8,2.3,0.5,-0.9,8.3,5.8,10018,10131,90,91,12,12,False,True,False,False,False,True,True,False,2011
2011-01-08,5.1,5.9,10.0,1.0,9.5,5.6,12.4,2.1,10012,10050,9982,85,98,73,0.864,0.0,0.0,0.576,0.288,6.8,3.3,3.2,0.1,11.0,6.7,10002,10102,93,89,14,14,False,False,False,False,False,True,True,False,2011
2011-01-09,2.7,2.8,5.0,2.0,3.4,-1.1,6.3,0.0,10120,10195,10049,84,92,72,0.964,0.0,0.0,0.386,0.578,6.1,3.6,1.7,0.3,9.6,6.8,10057,10084,89,89,4,14,False,False,False,False,False,True,True,False,2011
2011-01-10,3.6,3.7,5.0,2.0,0.9,-3.2,4.9,0.0,10185,10213,10129,92,98,83,0.973,0.0,0.032,0.941,0.0,4.6,3.6,0.4,0.1,7.9,7.2,10106,10077,87,88,2,14,False,True,False,False,False,False,False,False,2011
