date,numeric_wf,binary_wf
2011-01-20,2,1
2011-03-10,1,1
2011-03-21,1,1
2011-03-23,1,1
2011-03-25,1,1
2011-03-28,1,1
2011-04-03,1,1
2011-04-06,2,1
2011-04-07,2,1
2011-04-08,1,1
2011-04-09,1,1
2011-04-16,3,1
2011-04-23,1,1
2011-04-25,2,1
2011-04-26,4,1
2011-04-27,1,1
2011-04-30,1,1
2011-05-01,1,1
2011-05-04,1,1
2011-05-08,2,1
2011-05-13,1,1
2011-05-15,1,1
2011-05-20,1,1
2011-05-25,3,1
2011-05-28,1,1
2011-05-31,1,1
2011-06-03,2,1
2011-06-19,1,1
2011-07-01,1,1
2011-08-07,1,1
2011-08-17,1,1
2011-10-03,1,1
2011-10-29,1,1
2011-11-13,1,1
2011-12-10,1,1
2012-01-21,1,1
2012-03-20,1,1
2012-03-21,1,1
2012-03-22,1,1
2012-03-24,1,1
2012-05-08,1,1
2012-05-27,1,1
2012-05-29,1,1
2012-05-31,1,1
2012-06-06,1,1
2012-06-07,1,1
2012-06-22,1,1
2012-08-10,1,1
2012-08-12,1,1
2012-08-13,1,1
2012-08-17,1,1
2012-09-07,1,1
2012-09-08,1,1
2012-09-14,1,1
2012-10-14,1,1
2012-10-23,1,1
2012-11-16,1,1
2012-11-26,1,1
2012-12-23,1,1
2013-02-21,1,1
2013-03-11,1,1
2013-03-27,3,1
2013-04-01,1,1
2013-04-02,1,1
2013-04-03,1,1
2013-04-04,4,1
2013-04-06,1,1
2013-04-07,1,1
2013-04-08,1,1
2013-04-18,1,1
2013-04-20,4,1
2013-04-21,1,1
2013-04-22,1,1
2013-04-23,1,1
2013-04-24,1,1
2013-04-25,3,1
2013-04-27,1,1
2013-05-01,2,1
2013-05-06,1,1
2013-05-07,2,1
2013-05-09,1,1
2013-05-11,1,1
2013-06-15,1,1
2013-06-22,1,1
2013-07-11,1,1
2013-07-14,1,1
2013-07-16,1,1
2013-07-21,1,1
2013-09-02,1,1
2014-03-08,1,1
2014-03-10,1,1
2014-03-13,1,1
2014-03-15,1,1
2014-03-20,1,1
2014-04-02,1,1
2014-04-03,1,1
2014-04-10,1,1
2014-04-17,1,1
2014-04-19,1,1
2014-04-20,1,1
2014-04-23,2,1
2014-04-26,1,1
2014-04-28,1,1
2014-04-30,1,1
2014-05-04,1,1
2014-05-21,1,1
2014-06-17,2,1
2014-06-20,1,1
2014-06-25,1,1
2014-06-28,2,1
