#IncidentId;#DateId;_catLMC;_catLMC1;_catLMC2;dtgStartIncident;nrIncident;plaatsNaam;wk_prioriteitIncidentBrandweer;straatnaam;naamLocatie2;postcode;huisPaalNr;_catDagdeel;_catRegio;_lat;_lon
892252200;20170713;Brand;Natuur;NULL;2017-07-13 21:42:00.0000000;174433;Achtmaal;1;Witte Moeren;NULL;NULL;NULL;Avond;VRMWB;" 51.4875899999999970";"  4.5905110000000002"
870099085;20160915;Brand;Natuur;NULL;2016-09-15 16:00:27.0000000;222264;Tilburg;1;Puttendijk;NULL;NULL;NULL;Middag;VRMWB;" 51.5447509999999980";"  5.0117430000000001"
1609967311;20230705;Brand;Natuur;NULL;2023-07-05 17:35:38.0000000;239992;Tilburg;1;Oude Warande;NULL;NULL;NULL;Middag;VRMWB;" 51.5605865447255810";"  5.0317844090438681"
1527453633;20220516;Brand;Natuur;Bos;2022-05-16 20:35:17.0000000;164774;Tilburg;1;Gilzerbaan;NULL;NULL;NULL;Avond;VRMWB;" 51.5525192146946760";"  5.0130603334222137"
1435975194;20200903;Brand;Natuur;NULL;2020-09-03 21:06:11.0000000;310908;Tilburg;2;Reeshofdijk;NULL;NULL;NULL;Avond;VRMWB;" 51.5675439535775550";"  5.0408309836958010"
799874737;20140423;Brand;Natuur;NULL;2014-04-23 16:16:06.0000000;81555;Alphen;1;BAARLESEBAAN;NULL;5131RP;10;Middag;VRMWB;" 51.4712770000000010";"  5.0006190000000004"
976937311;20190423;Brand;Natuur;NULL;2019-04-23 18:23:49.0000000;94094;Alphen;1;Voskuil;Recreatieplas 't Zand;NULL;NULL;Avond;VRMWB;" 51.4998030000000000";"  4.9558900000000001"
1525645208;20220501;Brand;Natuur;Bos;2022-05-01 19:51:33.0000000;145394;Alphen;1;Huisdreef;Camping Buitenlust;5131NH;1;Avond;VRMWB;" 51.5020286891391170";"  4.9159134337050343"
951195354;20180701;Brand;Natuur;NULL;2018-07-01 08:54:44.0000000;161810;Alphen;1;Maastrichtsebaan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5003329999999980";"  4.9228180000000004"
860445577;20160506;Brand;Natuur;NULL;2016-05-06 13:15:30.0000000;102944;NULL;1;NULL;NULL;NULL;NULL;Middag;VRMWB;" 51.6740539999999980";"  5.0939880000000004"
1476776819;20210613;Brand;Natuur;Bos;2021-06-13 16:18:57.0000000;188822;Breda;1;Oude Postbaan;NULL;NULL;NULL;Middag;VRMWB;" 51.5417966192890660";"  4.7528403773926016"
