#DateId;date;dagvdWeekOmschr;dagvhJaar;_isFeestdagNL;feestdagNaam;_isWerkdag;_catDagsoort;VakantieNoord;NaamVakNoord;VakantieMidden;NaamVakMidden;VakantieZuid;NaamVakZuid;VakantieVlaanderen;NaamVakBE;VakantieNordrheinWF;NaamVakDE;feestdagenVakantie_BE;feestdagenVakantie_DE
20110101;1-1-2011;zaterdag;1;1;Nieuwjaarsdag;0;Zaterdag;1;Kerst;1;Kerst;1;Kerst;1;Kerst;1;Kerst;;
20110102;2-1-2011;zondag;2;0;;0;Zondag;1;Kerst;1;Kerst;1;Kerst;1;Kerst;1;Kerst;;
20110103;3-1-2011;maandag;3;0;;1;Werkdag;;;;;;;1;Kerst;1;Kerst;;
20110104;4-1-2011;dinsdag;4;0;;1;Werkdag;;;;;;;1;Kerst;1;Kerst;;
20110105;5-1-2011;woensdag;5;0;;1;Werkdag;;;;;;;1;Kerst;1;Kerst;;
20110106;6-1-2011;donderdag;6;0;;1;Werkdag;;;;;;;1;Kerst;1;Kerst;;
20110107;7-1-2011;vrijdag;7;0;;1;Werkdag;;;;;;;1;Kerst;1;Kerst;;
20110108;8-1-2011;zaterdag;8;0;;0;Zaterdag;;;;;;;1;Kerst;1;Kerst;;
20110109;9-1-2011;zondag;9;0;;0;Zondag;;;;;;;1;Kerst;1;Kerst;;
20110110;10-1-2011;maandag;10;0;;1;Werkdag;;;;;;;;;;;;
20110111;11-1-2011;dinsdag;11;0;;1;Werkdag;;;;;;;;;;;;
20110112;12-1-2011;woensdag;12;0;;1;Werkdag;;;;;;;;;;;;
20110113;13-1-2011;donderdag;13;0;;1;Werkdag;;;;;;;;;;;;
20110114;14-1-2011;vrijdag;14;0;;1;Werkdag;;;;;;;;;;;;
20110115;15-1-2011;zaterdag;15;0;;0;Zaterdag;;;;;;;;;;;;
20110116;16-1-2011;zondag;16;0;;0;Zondag;;;;;;;;;;;;
20110117;17-1-2011;maandag;17;0;;1;Werkdag;;;;;;;;;;;;
20110118;18-1-2011;dinsdag;18;0;;1;Werkdag;;;;;;;;;;;;
20110119;19-1-2011;woensdag;19;0;;1;Werkdag;;;;;;;;;;;;
20110120;20-1-2011;donderdag;20;0;;1;Werkdag;;;;;;;;;;;;
20110121;21-1-2011;vrijdag;21;0;;1;Werkdag;;;;;;;;;;;;
20110122;22-1-2011;zaterdag;22;0;;0;Zaterdag;;;;;;;;;;;;
20110123;23-1-2011;zondag;23;0;;0;Zondag;;;;;;;;;;;;
20110124;24-1-2011;maandag;24;0;;1;Werkdag;;;;;;;;;;;;
20110125;25-1-2011;dinsdag;25;0;;1;Werkdag;;;;;;;;;;;;
20110126;26-1-2011;woensdag;26;0;;1;Werkdag;;;;;;;;;;;;
20110127;27-1-2011;donderdag;27;0;;1;Werkdag;;;;;;;;;;;;
20110128;28-1-2011;vrijdag;28;0;;1;Werkdag;;;;;;;;;;;;
20110129;29-1-2011;zaterdag;29;0;;0;Zaterdag;;;;;;;;;;;;
20110130;30-1-2011;zondag;30;0;;0;Zondag;;;;;;;;;;;;
20110131;31-1-2011;maandag;31;0;;1;Werkdag;;;;;;;;;;;;
20110201;1-2-2011;dinsdag;32;0;;1;Werkdag;;;;;;;;;;;;
20110202;2-2-2011;woensdag;33;0;;1;Werkdag;;;;;;;;;;;;
20110203;3-2-2011;donderdag;34;0;;1;Werkdag;;;;;;;;;;;;
20110204;4-2-2011;vrijdag;35;0;;1;Werkdag;;;;;;;;;;;;
20110205;5-2-2011;zaterdag;36;0;;0;Zaterdag;;;;;;;;;;;;
20110206;6-2-2011;zondag;37;0;;0;Zondag;;;;;;;;;;;;
20110207;7-2-2011;maandag;38;0;;1;Werkdag;;;;;;;;;;;;
20110208;8-2-2011;dinsdag;39;0;;1;Werkdag;;;;;;;;;;;;
20110209;9-2-2011;woensdag;40;0;;1;Werkdag;;;;;;;;;;;;
20110210;10-2-2011;donderdag;41;0;;1;Werkdag;;;;;;;;;;;;
20110211;11-2-2011;vrijdag;42;0;;1;Werkdag;;;;;;;;;;;;
20110212;12-2-2011;zaterdag;43;0;;0;Zaterdag;;;;;;;;;;;;
20110213;13-2-2011;zondag;44;0;;0;Zondag;;;;;;;;;;;;
20110214;14-2-2011;maandag;45;0;;1;Werkdag;;;;;;;;;;;;
20110215;15-2-2011;dinsdag;46;0;;1;Werkdag;;;;;;;;;;;;
20110216;16-2-2011;woensdag;47;0;;1;Werkdag;;;;;;;;;;;;
20110217;17-2-2011;donderdag;48;0;;1;Werkdag;;;;;;;;;;;;
20110218;18-2-2011;vrijdag;49;0;;1;Werkdag;;;;;;;;;;;;
