,#IncidentId,#DateId,_catLMC,_catLMC1,_catLMC2,dtgStartIncident,nrIncident,plaatsNaam,wk_prioriteitIncidentBrandweer,straatnaam,naamLocatie2,postcode,huisPaalNr,_catDagdeel,_catRegio,_lat,_lon
0,892252200,20170713,Brand,Natuur,,2017-07-13 21:42:00.0000000,174433,Achtmaal,1,Witte Moeren,,,,Avond,VRMWB,51.48759,4.590511
1,870099085,20160915,Brand,Natuur,,2016-09-15 16:00:27.0000000,222264,Tilburg,1,Puttendijk,,,,Middag,VRMWB,51.544751,5.011743
2,1609967311,20230705,Brand,Natuur,,2023-07-05 17:35:38.0000000,239992,Tilburg,1,Oude Warande,,,,Middag,VRMWB,51.56058654472558,5.031784409043868
3,1527453633,20220516,Brand,Natuur,Bos,2022-05-16 20:35:17.0000000,164774,Tilburg,1,Gilzerbaan,,,,Avond,VRMWB,51.55251921469468,5.013060333422214
4,1435975194,20200903,Brand,Natuur,,2020-09-03 21:06:11.0000000,310908,Tilburg,2,Reeshofdijk,,,,Avond,VRMWB,51.56754395357756,5.040830983695801
5,799874737,20140423,Brand,Natuur,,2014-04-23 16:16:06.0000000,81555,Alphen,1,BAARLESEBAAN,,5131RP,10.0,Middag,VRMWB,51.471277,5.000619
6,976937311,20190423,Brand,Natuur,,2019-04-23 18:23:49.0000000,94094,Alphen,1,Voskuil,Recreatieplas 't Zand,,,Avond,VRMWB,51.499803,4.95589
7,1525645208,20220501,Brand,Natuur,Bos,2022-05-01 19:51:33.0000000,145394,Alphen,1,Huisdreef,Camping Buitenlust,5131NH,1.0,Avond,VRMWB,51.50202868913912,4.915913433705033
8,951195354,20180701,Brand,Natuur,,2018-07-01 08:54:44.0000000,161810,Alphen,1,Maastrichtsebaan,,,,Ochtend,VRMWB,51.500333,4.922818
9,860445577,20160506,Brand,Natuur,,2016-05-06 13:15:30.0000000,102944,,1,,,,,Middag,VRMWB,51.674054,5.093988
10,1476776819,20210613,Brand,Natuur,Bos,2021-06-13 16:18:57.0000000,188822,Breda,1,Oude Postbaan,,,,Middag,VRMWB,51.541796619289066,4.752840377392602
11,1012525302,20200414,Brand,Natuur,Bos,2020-04-14 20:53:10.0000000,88905,Breda,1,Morteldreef,,,,Avond,VRMWB,51.587901,4.704638
12,1468218932,20210329,Brand,Natuur,,2021-03-29 14:49:21.0000000,95560,Breda,1,Beemdenbospad,,,,Middag,VRMWB,51.62959971445203,4.75125084475054
13,1467995677,20210327,Brand,Natuur,Bos,2021-03-27 14:58:58.0000000,93251,Breda,1,Zevenlindendreef,,,,Middag,VRMWB,51.54610846806932,4.758979324139494
14,1468088664,20210328,Brand,Natuur,Bos,2021-03-28 11:36:51.0000000,94205,Breda,1,Zevenlindendreef,Frederiksdreef,,,Ochtend,VRMWB,51.54671888869612,4.758826716062388
15,1592554706,20230304,Brand,Natuur,Bos,2023-03-04 08:18:06.0000000,75320,Oisterwijk,1,Tilburg - Boxtel,,,,Ochtend,VRMWB,51.58668527558836,5.245536203791855
16,887518108,20170516,Brand,Natuur,,2017-05-16 15:42:41.0000000,114806,Oisterwijk,1,Scheibaan,,,,Middag,VRMWB,51.563027,5.236369
17,1488000134,20210819,Brand,Natuur,Bos,2021-08-19 20:25:20.0000000,274896,Oisterwijk,1,Belversebaan,,,,Avond,VRMWB,51.57088148569991,5.251571483851394
18,714253866,20110531,Brand,Natuur,,2011-05-31 19:56:41.0000000,104837,Oisterwijk,Anders,VAN SWINDERENLAAN,,,,Avond,VRMWB,51.561378,5.202196
19,731024005,20120121,Brand,Natuur,,2012-01-21 08:12:40.0000000,13375,Oisterwijk,1,VLOEIWEG,VLOET DE,5061GA,85.0,Ochtend,VRMWB,51.578671,5.190411
20,752333886,20120508,Brand,Natuur,,2012-05-08 19:26:56.0000000,87943,Oisterwijk,1,BLOKSHEKKEN,OISTERWIJK KAZERNECENTRALE,5061HA,4.0,Avond,VRMWB,51.581044,5.190574
21,979483533,20190530,Brand,Natuur,,2019-05-30 18:51:02.0000000,124847,Oisterwijk,1,Nemelaerweg,,,,Avond,VRMWB,51.58597,5.232541
22,1471287350,20210426,Brand,Natuur,,2021-04-26 16:40:06.0000000,128137,Oisterwijk,1,Moergestelseweg,,,,Middag,VRMWB,51.56033290840398,5.180594996431052
23,712375335,20110409,Brand,Natuur,,2011-04-09 15:41:07.0000000,66635,Molenschot,1,RIJKSWEG,,,,Middag,VRMWB,51.58241,4.896773
24,1708287908,20250406,Brand,Natuur,,2025-04-06 14:29:19.0000000,130409,Molenschot,1,Goorbergseweg,,,0.0,Middag,VRMWB,51.57812111229455,4.880038145629199
25,712308153,20110407,Brand,Natuur,,2011-04-07 16:15:35.0000000,65170,Loon op Zand,1,VAN SALM-SALMSTRAAT,,,,Middag,VRMWB,51.630126,5.066397
26,1526083167,20220505,Brand,Natuur,Bos,2022-05-05 18:28:51.0000000,149959,Loon op Zand,1,Heideweg,,,,Avond,VRMWB,51.615252316312144,5.068101676137702
27,976114959,20190412,Brand,Natuur,Bos,2019-04-12 14:37:04.0000000,83845,Udenhout,1,Schoorstraat,Bosch en Duin,5071RC,50.0,Middag,VRMWB,51.635509,5.111889
28,1599140743,20230420,Brand,Natuur,Bos,2023-04-20 22:46:05.0000000,133475,Loon op Zand,1,Kasteelhoevenweg,,,,Avond,VRMWB,51.620312216622445,5.064571610556128
29,774718605,20130615,Brand,Natuur,,2013-06-15 14:52:36.0000000,117498,Loon op Zand,1,HEIDEWEG,,,,Middag,VRMWB,51.61681,5.068151
30,1551180773,20220906,Brand,Natuur,,2022-09-06 13:12:06.0000000,319016,Zundert,1,Meirseweg,,,,Middag,VRMWB,51.461421309582406,4.691853562745198
